0,1,2,3,4,5,6
0.3198104328384902,0.52009758758482,0.2906777543222766,0.8767066778579525,0.4950346891082852,0.6190824996433428,0.0421183545380621
0.8798712775855185,0.3979619901837962,0.0036345648296357,0.9569906396679158,0.264513732508431,0.1148692413930539,0.0027014650245082
0.541240780459459,0.6314031426898206,0.0319020463276646,0.4499815599100049,0.7986528164952386,0.6337042906107708,0.0182090730065811
0.2263479213215623,0.1150258139009348,0.8247496553939904,0.9453837248568,0.905311527631774,0.9510139152470553,0.0070160275585146
0.6868525698557914,0.041017207781653,0.007573010669658,0.2850089958322135,0.6915684836560828,0.6555428970136261,0.1005066108010816
0.1759775366488313,0.6244164970552419,0.295541983522259,0.4695527590211096,0.0977697704777261,0.7281410813045498,0.4753955163956208
0.8816467367680777,0.2044501883591619,0.4144743585192156,0.4203846784242615,0.2649150148174026,0.7306601868760868,0.6751416308956351
0.0666105105663011,0.5280450659529847,0.8160951953117404,0.9610171372277224,0.0865093337169039,0.7777882160330215,0.5164572186199785
0.9324663796298104,0.4888118879321913,0.258607741763534,0.9562434362289866,0.1904278104244965,0.5198517579933358,0.0037774796165786
0.8468669651542917,0.1424291716485143,0.0606685897809874,0.7562921279692766,0.5523982951979418,0.0813060871520889,0.0031343333109347
0.8062820836261164,0.3241223746901364,0.7260760130795909,0.1487121315410434,0.7193764014954694,0.3628839783884743,0.0213425227873123
0.4768231286900887,0.3409419502762441,0.0143352324173231,0.8801395630913645,0.9986546964586872,0.0796640185732378,0.0954111589101041
0.020253,0.352804,0.043912,0.133667,0.313556,0.014222,0.054912061416683
0.5,0.5,0.5,0.5,0.5,0.5,0.505314991702233
0.0,0.999999,0.0,0.0,0.999999,0.999999,0.0001416281597232
0.057895,0.011812,0.245864,0.073659,0.249602,0.951013,0.8176791561098905
0.020253,0.352804,0.043912,0.133667,0.313556,0.014222,0.054912061416683
0.060879,0.053101,0.566745,0.275777,0.128874,0.762115,1.63646095039438
0.05,0.01,0.3,0.08,0.3,0.95,0.917396500640837
0.057896,0.011813,0.003635,0.073659,0.014944,0.501057,0.2563266265448748
0.964095,0.696692,0.892075,0.262162,0.490471,0.188999,0.0147588906166779
0.036444,0.424332,0.284714,0.173326,0.377305,0.764434,1.6000535693781208
0.988469,0.367215,0.901685,0.564412,0.800156,0.823348,0.0151120215286327
0.0,0.408545,0.357413,0.172036,0.380747,0.76485,1.6474911584807586
0.45,0.45,0.45,0.45,0.45,0.45,0.824691
0.93,0.67,0.26,0.53,0.72,0.45,0.007251
1e-06,0.135791,0.563728,0.152543,0.298409,0.740819,2.3204144429036524
0.0,0.252611,0.760494,0.325859,0.305031,0.999999,1.39337596642222
0.007707,0.016485,0.745244,0.086397,0.915241,0.255586,0.1752287927045437
0.988469,0.367215,0.901685,0.564412,0.800156,0.823348,0.0151120215286327
1e-06,0.999999,0.3,0.3,0.3,0.3,0.107010101639482
0.517874,0.182562,0.895611,0.728184,0.166834,0.676183,0.29541996371393
0.0,0.039913,0.75866,0.11523,0.294522,0.667188,1.6356359258165891
0.524139,0.133122,0.090219,0.424444,0.166633,0.76896,1.1449513229586
0.007707,0.016485,0.745244,0.086397,0.915241,0.255586,0.175228792704543
0.169241,0.216834,0.259626,0.900286,0.184333,0.982455,0.0285343457999437
0.0,0.161966,0.544633,0.074952,0.33009,0.686093,2.020573670190171
0.02099,0.281944,0.716459,0.02324,0.014878,0.909073,0.894035294900426
0.000142,0.159357,0.570954,0.208151,0.320602,0.758472,2.4757226123991654
0.5533924,0.94265688,0.37843995,0.81644951,0.30724102,0.68667292,0.01922624
0.57767921,0.77666698,0.49167411,0.8109403,0.2573919,0.3111875,0.36330243
0.59949888,0.87032335,0.07862039,0.8774701,0.44857133,0.14032067,0.55407875
0.34391181,0.16237337,0.64747514,0.33306226,0.58985232,0.34861981,0.50328569
0.25025126,0.50258132,0.86529474,0.3948412,0.57668213,0.22758252,0.37857884
0.38041208,0.49217965,0.16343703,0.34501486,0.00249229,0.72742987,0.3514206
0.7000382,0.24792505,0.99685626,0.78816919,0.4212353,0.24110836,0.02183849
0.27215304,0.36229447,0.14792418,0.98929021,0.6172454,0.90575561,0.00274182
0.98596285,0.56551037,0.0336468,0.81835521,0.06473044,0.29100716,0.00284504
0.10557451,0.53066877,0.70973029,0.38713039,0.377642,0.68745292,1.42061766
0.41965144,0.10239981,0.65162054,0.13551419,0.17390985,0.2449025,0.40091479
0.38333381,0.48490161,0.02330837,0.31080082,0.40659607,0.37986672,0.76315471
0.64234772,0.62485994,0.59955676,0.69695586,0.58430151,0.62741632,0.05418833
0.25112425,0.02864035,0.57442658,0.30767792,0.12493266,0.81482005,1.48980895
0.67553455,0.82278286,0.56616623,0.76746994,0.94375052,0.17817038,0.43444452
0.28944287,0.66217003,0.77907406,0.67926704,0.75774697,0.19114322,1.08014511
0.2641496,0.33834387,0.02791976,0.79138507,0.53999442,0.03078242,0.12891794
0.72853841,0.66131919,0.82160388,0.84709947,0.51182809,0.87821668,0.1377023
0.89376992,0.0495654,0.37882925,0.08810275,0.20628684,0.33004916,0.1831588
0.72124889,0.42033325,0.52594238,0.29409231,0.75095604,0.00824324,0.04764594
0.02217805,0.36399255,0.40746356,0.76190553,0.84288594,0.20669374,0.03762268
0.01173165,0.79725639,0.19069447,0.61651098,0.92391729,0.54878971,0.01272042
0.07440619,0.73607083,0.11969825,0.56493241,0.02357042,0.81937945,0.07604335
0.34817805,0.10388219,0.37486701,0.91807747,0.2251307,0.55431265,0.05572355
0.35905913,0.42182687,0.88257684,0.99104029,0.57366693,0.71468722,0.06435507
0.74989625,0.77315963,0.93679838,0.6745058,0.41011799,0.52921798,0.04803639
0.17906201,0.97780095,0.34230596,0.9270413,0.35441174,0.35621829,0.08927954
0.20131011,0.20614847,0.76968778,0.33429616,0.4874355,0.13151584,0.19203278
0.19159697,0.25271152,0.39095255,0.22910573,0.36328738,0.86194604,2.11469067
0.3666046,0.8950202,0.25725146,0.74359107,0.90913351,0.88113057,0.00214979
0.118366,0.537142,0.85238,0.021508,0.847325,0.590274,0.155525506920216
0.541182,0.483086,0.878379,0.06677,0.299276,0.937855,1.0751389251699977
0.072226,0.190581,0.562973,0.23769,0.344143,0.759108,2.7452184451505293
0.022657,0.375191,0.381754,0.333214,0.228565,0.805862,1.788198805893432
0.0,0.204938,0.59784,0.276625,0.326906,0.739635,2.5729414651887987
0.012183,0.021475,0.859548,0.050372,0.393244,0.957336,0.56190777383945
0.0,0.204938,0.59784,0.276625,0.326906,0.789635,2.39383663055495
0.0,0.164022,0.505777,0.301325,0.327269,0.683707,2.7903291689407075
0.0,0.179046,0.539581,0.292256,0.327136,0.7161,2.71612708401371
0.0,0.135609,0.445638,0.357115,0.394277,0.665918,2.399082488308588
0.0,0.184022,0.505777,0.301325,0.327269,0.683707,2.78217170797992
0.019912,0.169935,0.474406,0.284367,0.313996,0.671262,2.914675034539428
0.044609,0.176655,0.446015,0.275628,0.309784,0.66478,3.001984688365984
0.054616,0.203105,0.329045,0.266764,0.29447,0.600547,2.774473824885341
0.806556,0.112278,0.462643,0.796131,0.931071,0.657858,
