0,1,2,3,4,5
0.407129,0.339955,0.650138,0.671783,0.039865,-0.2019097543488713
0.897959,1e-06,0.5,0.95,0.21,-1.2641757650855
0.387718,0.101383,0.674491,0.89724,0.239584,-0.620857554554455
0.442522,0.432066,0.877621,0.691323,0.0,-0.4745365573672
0.403203,0.315003,0.537422,0.597262,0.0,-0.484773382904026
0.448276,0.413793,0.793103,0.689655,0.034483,-0.349317766321987
0.383932,0.292561,0.685956,0.746712,0.0,-0.2822371207552012
0.399477,0.309778,0.638116,0.695194,0.197108,-0.2579433457268905
0.442522,0.432066,0.877621,0.691323,0.0,-0.4745365573672
0.375801,0.422578,0.608473,0.725795,0.082752,-0.0975111011889552
0.399477,0.309778,0.638116,0.695194,0.197108,-0.25794334572689
0.457402,0.412426,0.680526,0.668847,0.0,-0.3781877976189852
0.413793,0.344828,0.655172,0.724138,0.103448,-0.123675405792009
0.22219,0.419134,0.683824,0.688898,0.081908,-0.3592066481937429
0.06977239,0.9059617,0.58137129,0.79377349,0.6334747,-1.51269542
0.58946053,0.28597259,0.38227869,0.2299495,0.29487086,-1.34959856
0.98366102,0.06282972,0.00092346,0.65984388,0.26187826,-1.82739562
0.49831302,0.11536557,0.16056438,0.86279263,0.86942996,-1.71602331
0.6379055,0.07755486,0.82380305,0.45611469,0.14281995,-0.97248425
0.44659431,0.71537147,0.17979231,0.80155851,0.37934085,-1.20521138
0.85598053,0.26616466,0.35941568,0.85321831,0.36917198,-1.10099104
0.42033619,0.02442917,0.21612255,0.16569731,0.64769314,-1.91309535
0.55135421,0.8946458,0.68706567,0.47490358,0.04225346,-1.05157417
0.5301618,0.36950118,0.24696358,0.50655723,0.51019633,-1.19458833
0.22997907,0.81370131,0.47048338,0.2604034,0.77836604,-2.06906505
0.85103291,0.82628124,0.66370758,0.23463218,0.02757001,-1.48937327
0.1176196,0.5319165,0.99619541,0.96594673,0.93819022,-1.82528398
0.68435165,0.06629396,0.28089413,0.07895729,0.21456224,-1.7476171
0.90932629,0.55826875,0.98396752,0.47919544,0.1443553,-1.35823203
0.89946288,0.46574838,0.33157508,0.74614325,0.71194967,-1.44913772
0.69100419,0.66347735,0.76669773,0.09088778,0.47568645,-1.81134837
0.93026549,0.33221513,0.02297227,0.50917347,0.6604594,-2.00771782
0.44203165,0.25087253,0.64696063,0.04641499,0.25411129,-0.99967761
0.69974718,0.37107526,0.14914813,0.55974938,0.7720436,-1.67533648
0.364819,0.371199,0.571742,0.753055,0.106404,-0.1815216677416715
0.405479,0.487965,0.625298,0.700544,0.152175,-0.3643705951308251
0.340621,0.477796,0.630706,0.823781,0.0,-0.4178566283640216
0.394895,0.295646,0.824371,0.738615,0.1601,-0.3458285926071134
0.388369,0.360642,0.62304,0.743958,0.137437,-0.0681804803729477
0.463793,0.394828,0.705172,0.774138,0.153448,-0.258615263224293
0.388369,0.360642,0.62304,0.693958,0.137437,-0.223123501710007
0.392403,0.34004,0.625217,0.731834,0.116338,-0.0084267563092203
0.401779,0.343702,0.640626,0.726207,0.107291,-0.07294713902596
0.378855,0.362115,0.61438,0.748837,0.144359,-0.16267029739948
0.402403,0.33004,0.635217,0.731834,0.116338,-0.0300045896860811
0.0,0.350271,0.999999,0.823917,0.0,-1.0918043889085296
0.389278,0.359288,0.606593,0.746435,0.151982,-0.1782827738349458
0.380737,0.348031,0.63004,0.743618,0.124482,-0.0868283037406399
0.08261,0.044874,0.868509,0.948859,0.874543,
